"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.46560000000E+009, +1.87502426347E+000, +0.00000000000E+000
+2.46640000000E+009, +1.75208618940E+000, +0.00000000000E+000
+2.46720000000E+009, +1.62990973009E+000, +0.00000000000E+000
+2.46800000000E+009, +1.50315704112E+000, +0.00000000000E+000
+2.46880000000E+009, +1.39133090257E+000, +0.00000000000E+000
+2.46960000000E+009, +1.27889716065E+000, +0.00000000000E+000
+2.47040000000E+009, +1.16343994558E+000, +0.00000000000E+000
+2.47120000000E+009, +1.04625780806E+000, +0.00000000000E+000
+2.47200000000E+009, +9.21289624877E-001, +0.00000000000E+000
+2.47280000000E+009, +7.90721153471E-001, +0.00000000000E+000
+2.47360000000E+009, +6.50960128534E-001, +0.00000000000E+000
+2.47440000000E+009, +4.77782522730E-001, +0.00000000000E+000
+2.47520000000E+009, +2.98592357718E-001, +0.00000000000E+000
+2.47600000000E+009, +1.04497595337E-001, +0.00000000000E+000
+2.47680000000E+009, -1.01923523669E-001, +0.00000000000E+000
+2.47760000000E+009, -3.10384305036E-001, +0.00000000000E+000
+2.47840000000E+009, -5.19892348235E-001, +0.00000000000E+000
+2.47920000000E+009, -7.35135915128E-001, +0.00000000000E+000
+2.48000000000E+009, -9.47345033156E-001, +0.00000000000E+000
+2.48080000000E+009, -1.16295861179E+000, +0.00000000000E+000
+2.48160000000E+009, -1.38093657536E+000, +0.00000000000E+000
+2.48240000000E+009, -1.60475371057E+000, +0.00000000000E+000
+2.48320000000E+009, -1.83632400486E+000, +0.00000000000E+000
+2.48400000000E+009, -2.06251174689E+000, +0.00000000000E+000
+2.48480000000E+009, -2.30113713810E+000, +0.00000000000E+000
+2.48560000000E+009, -2.55754196342E+000, +0.00000000000E+000
+2.48640000000E+009, -2.83190388218E+000, +0.00000000000E+000
+2.48720000000E+009, -3.12552962858E+000, +0.00000000000E+000
+2.48800000000E+009, -3.45222830876E+000, +0.00000000000E+000
+2.48880000000E+009, -3.79749351100E+000, +0.00000000000E+000
+2.48960000000E+009, -4.17946398904E+000, +0.00000000000E+000
+2.49040000000E+009, -4.57968263846E+000, +0.00000000000E+000
+2.49120000000E+009, -5.00367897469E+000, +0.00000000000E+000
+2.49200000000E+009, -5.45337979256E+000, +0.00000000000E+000
+2.49280000000E+009, -5.91853955882E+000, +0.00000000000E+000
+2.49360000000E+009, -6.38502275815E+000, +0.00000000000E+000
+2.49440000000E+009, -6.88252139826E+000, +0.00000000000E+000
+2.49520000000E+009, -7.37590042923E+000, +0.00000000000E+000
+2.49600000000E+009, -7.89740936555E+000, +0.00000000000E+000
+2.49680000000E+009, -8.41935510214E+000, +0.00000000000E+000
+2.49760000000E+009, -8.94756396316E+000, +0.00000000000E+000
+2.49840000000E+009, -9.51343509211E+000, +0.00000000000E+000
+2.49920000000E+009, -1.01170125094E+001, +0.00000000000E+000
+2.50000000000E+009, -1.07681093791E+001, +0.00000000000E+000
+2.50080000000E+009, -1.15136264429E+001, +0.00000000000E+000
+2.50160000000E+009, -1.23215409641E+001, +0.00000000000E+000
+2.50240000000E+009, -1.32264376994E+001, +0.00000000000E+000
+2.50320000000E+009, -1.42202928338E+001, +0.00000000000E+000
+2.50400000000E+009, -1.53080073011E+001, +0.00000000000E+000
+2.50480000000E+009, -1.65306504149E+001, +0.00000000000E+000
+2.50560000000E+009, -1.77658750483E+001, +0.00000000000E+000
+2.50640000000E+009, -1.89777700348E+001, +0.00000000000E+000
+2.50720000000E+009, -1.98968765005E+001, +0.00000000000E+000
+2.50800000000E+009, -2.03151399617E+001, +0.00000000000E+000
+2.50880000000E+009, -2.01061244251E+001, +0.00000000000E+000
+2.50960000000E+009, -1.93809595486E+001, +0.00000000000E+000
+2.51040000000E+009, -1.84056095937E+001, +0.00000000000E+000
